,duration,probability,predict
776,0.005422115325927734,0.7751510739326477,13
777,0.005418539047241211,0.7652028203010559,13
778,0.005419015884399414,0.6973586082458496,13
779,0.005429744720458984,0.8234629034996033,13
780,0.0054209232330322266,0.5836395621299744,13
781,0.0054204463958740234,0.584311306476593,13
782,0.005415916442871094,0.4227445423603058,13
783,0.005416154861450195,0.5591272115707397,32
784,0.005419492721557617,0.858069658279419,32
785,0.0105743408203125,0.9055259227752686,32
786,0.010610342025756836,0.9404663443565369,32
787,0.010952949523925781,0.9798771739006042,32
788,0.011956930160522461,0.9402102828025818,32
789,0.010642051696777344,0.9652916193008423,32
790,0.01080465316772461,0.9750498533248901,32
791,0.010870933532714844,0.9636318683624268,32
792,0.010942220687866211,0.9254201054573059,32
793,0.010818719863891602,0.9083213210105896,32
794,0.010941028594970703,0.9284512996673584,32
795,0.010802030563354492,0.9317856431007385,32
796,0.010808944702148438,0.9795057773590088,32
797,0.010887622833251953,0.93159419298172,32
798,0.010702371597290039,0.9847621917724609,32
799,0.010788202285766602,0.9956188797950745,32
800,0.010941028594970703,0.9966021180152893,32
801,0.010626554489135742,0.9957076907157898,32
802,0.010923147201538086,0.9960500597953796,32
803,0.010622262954711914,0.9922927021980286,32
804,0.010856389999389648,0.9798715710639954,32
805,0.010860443115234375,0.9814727306365967,32
806,0.00603795051574707,0.8786234855651855,32
807,0.005630970001220703,0.7344286441802979,32
808,0.005472898483276367,0.5627167820930481,5
809,0.005423784255981445,0.6075820922851562,5
810,0.005426168441772461,0.5413239598274231,32
811,0.0054168701171875,0.7132474780082703,32
812,0.005410909652709961,0.7615850567817688,32
813,0.005414009094238281,0.8068494200706482,32
814,0.0054073333740234375,0.7078418731689453,32
815,0.005408048629760742,0.42624905705451965,32
816,0.005415201187133789,0.30136266350746155,32
817,0.005406379699707031,0.19925042986869812,17
818,0.005405902862548828,0.2712398171424866,17
819,0.00540924072265625,0.2645130455493927,5
820,0.005405426025390625,0.3321722149848938,5
821,0.005405902862548828,0.26695892214775085,5
822,0.0054051876068115234,0.1493750661611557,3
823,0.005437135696411133,0.14122013747692108,5
824,0.005425214767456055,0.1470593363046646,5
825,0.00541996955871582,0.14666670560836792,32
826,0.005411863327026367,0.14837943017482758,32
827,0.005416393280029297,0.10273165255784988,32
828,0.005412101745605469,0.10726004093885422,27
829,0.005411624908447266,0.08027246594429016,32
830,0.005411863327026367,0.09845133125782013,27
831,0.005413532257080078,0.0715029239654541,32
832,0.00541234016418457,0.054329998791217804,27
833,0.0054111480712890625,0.061215974390506744,27
834,0.005410432815551758,0.05267173796892166,27
835,0.0054149627685546875,0.06347085535526276,27
836,0.0054128170013427734,0.05420051887631416,27
837,0.0054094791412353516,0.054930899292230606,27
838,0.005469799041748047,0.0612185001373291,27
839,0.005590677261352539,0.059590984135866165,0
840,0.0054514408111572266,0.06679217517375946,0
841,0.005424976348876953,0.053381554782390594,27
842,0.005415678024291992,0.05500798672437668,27
